街道方向熵,地理区域
3.497710672,南方地区
3.213673998,南方地区
3.379636869,南方地区
3.546601142,南方地区
3.442527947,南方地区
3.402256611,南方地区
3.49676082,南方地区
3.270855845,南方地区
3.262729062,南方地区
3.290877234,南方地区
3.365852047,南方地区
3.095445687,南方地区
2.702596666,南方地区
3.456447196,南方地区
3.427709121,南方地区
2.746862738,南方地区
2.872649569,南方地区
3.434689023,南方地区
3.486163558,南方地区
3.535269623,南方地区
3.369320912,南方地区
3.334058644,南方地区
3.256379893,南方地区
3.55988113,南方地区
3.261840995,南方地区
3.450896769,南方地区
3.310611838,南方地区
3.451858616,南方地区
3.327417623,南方地区
3.531877051,南方地区
3.500666335,南方地区
3.297271234,南方地区
3.299651703,南方地区
3.498957586,南方地区
3.52134485,南方地区
3.55472481,南方地区
3.45054121,南方地区
3.495659997,南方地区
3.33277852,南方地区
3.529371449,南方地区
3.506495589,南方地区
3.531223806,南方地区
3.532057724,南方地区
3.359053525,南方地区
3.315343823,南方地区
3.448217959,南方地区
3.48690218,南方地区
2.837642758,南方地区
3.533615303,南方地区
3.15586802,南方地区
3.200544482,南方地区
3.3537733,南方地区
3.50605274,南方地区
3.162020331,南方地区
3.33100873,南方地区
3.523742871,南方地区
3.403540102,南方地区
3.496117712,南方地区
2.859782137,南方地区
3.516259438,南方地区
3.445486262,南方地区
3.461661485,南方地区
3.509623617,南方地区
3.455557616,南方地区
3.111687777,南方地区
3.258361143,南方地区
3.134100188,南方地区
1.885435525,南方地区
2.92997762,南方地区
3.295349006,南方地区
3.266334114,南方地区
3.227294437,南方地区
3.226031472,南方地区
3.252795951,南方地区
3.329170351,南方地区
3.491929979,南方地区
3.331699942,南方地区
3.53804995,南方地区
3.295430512,南方地区
2.957698792,南方地区
2.873429221,南方地区
3.411771152,南方地区
2.558686527,南方地区
3.074275551,南方地区
2.803821583,南方地区
3.302439636,南方地区
2.584800671,南方地区
3.255986219,南方地区
2.851745831,南方地区
3.382421651,南方地区
3.125172399,南方地区
2.590390223,南方地区
2.625713427,南方地区
2.727667363,南方地区
2.701240717,南方地区
2.987028693,南方地区
2.807450496,南方地区
2.876435084,南方地区
3.300482392,南方地区
2.790237343,南方地区
3.289149415,南方地区
3.462397965,南方地区
3.318366304,南方地区
3.155776001,南方地区
3.152126286,南方地区
3.442967424,南方地区
3.003001826,南方地区
3.246909688,南方地区
3.32010405,南方地区
3.325340909,南方地区
3.46704563,南方地区
3.398205639,南方地区
3.480902894,南方地区
2.8200377,南方地区
2.519975766,南方地区
2.984069743,南方地区
2.604763063,南方地区
2.76427675,南方地区
2.850409721,南方地区
3.196669571,南方地区
2.915370018,南方地区
3.457489448,南方地区
3.486111936,南方地区
3.352757639,南方地区
3.450328812,南方地区
3.178149307,南方地区
3.320623117,南方地区
3.486279514,南方地区
3.18647058,南方地区
3.462263811,南方地区
3.306763849,南方地区
2.995305941,南方地区
3.555374384,南方地区
3.250167957,南方地区
3.115408722,南方地区
2.964329022,南方地区
3.169049224,南方地区
2.923076627,南方地区
3.184871455,南方地区
3.50668303,南方地区
2.861839537,南方地区
3.153139403,南方地区
3.321446462,南方地区
3.189408626,南方地区
3.00097954,南方地区
3.114323793,南方地区
3.431538594,南方地区
3.373772336,南方地区
3.534271205,南方地区
3.371265452,南方地区
3.49178152,南方地区
2.936128933,南方地区
3.528696033,南方地区
2.815438406,南方地区
3.346214326,南方地区
3.377036574,南方地区
3.107409602,南方地区
3.383338868,南方地区
3.201080828,南方地区
3.284562799,南方地区
3.423261388,南方地区
3.180448965,南方地区
2.807251316,南方地区
3.456552542,南方地区
3.065282273,南方地区
3.203239139,南方地区
3.235259989,南方地区
2.971495062,南方地区
2.929602669,南方地区
2.733138099,南方地区
2.791378975,南方地区
2.788503784,南方地区
2.799291328,南方地区
2.839717988,南方地区
3.161145516,南方地区
2.831703362,南方地区
3.433570443,南方地区
