Entropy,Area
3.256379893,South
3.55988113,South
3.261840995,South
3.450896769,South
3.310611838,South
3.451858616,South
3.327417623,South
3.531877051,South
3.500666335,South
3.297271234,South
3.299651703,South
3.498957586,South
3.52134485,South
3.55472481,South
3.45054121,South
3.495659997,South
3.33277852,South
3.529371449,South
3.506495589,South
3.531223806,South
3.532057724,South
3.359053525,South
3.315343823,South
3.448217959,South
3.48690218,South
2.837642758,South
3.533615303,South
3.15586802,South
3.200544482,South
3.3537733,South
3.50605274,South
3.162020331,South
3.33100873,South
3.523742871,South
3.403540102,South
3.496117712,South
2.859782137,South
3.516259438,South
3.445486262,South
3.461661485,South
3.509623617,South
3.455557616,South
3.111687777,South
3.258361143,South
3.134100188,South
1.885435525,South
2.92997762,South
3.295349006,South
3.266334114,South
3.227294437,South
3.226031472,South
3.252795951,South
3.329170351,South
3.491929979,South
3.331699942,South
3.53804995,South
3.295430512,South
2.957698792,South
2.873429221,South
3.411771152,South
2.558686527,South
3.074275551,South
2.803821583,South
3.302439636,South
2.584800671,South
3.255986219,South
2.851745831,South
3.382421651,South
3.125172399,South
2.590390223,South
2.625713427,South
2.727667363,South
2.701240717,South
2.987028693,South
2.807450496,South
2.876435084,South
3.300482392,South
2.790237343,South
3.289149415,South
3.462397965,South
3.318366304,South
3.155776001,South
3.152126286,South
3.442967424,South
3.003001826,South
3.246909688,South
3.32010405,South
3.325340909,South
3.46704563,South
3.398205639,South
3.480902894,South
2.8200377,South
2.519975766,South
2.984069743,South
2.604763063,South
2.76427675,South
2.850409721,South
3.196669571,South
2.915370018,South
3.457489448,South
3.486111936,South
3.352757639,South
3.450328812,South
3.178149307,South
3.320623117,South
3.486279514,South
3.18647058,South
3.462263811,South
3.306763849,South
2.995305941,South
3.555374384,South
3.250167957,South
3.115408722,South
2.964329022,South
3.169049224,South
2.923076627,South
3.184871455,South
3.50668303,South
2.861839537,South
3.153139403,South
3.321446462,South
3.189408626,South
3.00097954,South
3.114323793,South
3.431538594,South
3.373772336,South
3.534271205,South
3.371265452,South
3.49178152,South
2.936128933,South
3.528696033,South
2.815438406,South
3.346214326,South
3.377036574,South
3.107409602,South
3.383338868,South
3.201080828,South
3.284562799,South
3.423261388,South
3.180448965,South
2.807251316,South
3.456552542,South
3.065282273,South
3.203239139,South
3.235259989,South
2.971495062,South
2.929602669,South
2.733138099,South
2.791378975,South
2.788503784,South
2.799291328,South
2.839717988,South
3.161145516,South
2.831703362,South
3.433570443,South
3.308501091,South
2.466214812,South
3.072099622,South
1.684713692,South
2.999112871,South
2.791224025,South
2.895558391,South
2.95049254,South
2.394956522,South
3.106025867,South
3.029175545,South
3.241348288,South
3.331052154,South
3.474141521,South
3.336529398,South
3.474785091,South
3.538469184,South
2.713596521,South
2.472614977,South
3.307898319,South
2.872580324,South
3.285330748,South
3.06212699,South
3.400435811,South
2.839938231,South
3.383880347,South
3.280561401,South
2.929199485,South
2.943051922,South
3.258212306,South
3.235411438,South
3.519531718,South
3.506692964,South
3.303583617,South
3.500469558,South
3.159797974,South
3.5438734,South
